      Time   Sample #  Type  Sub Chan  Num	Aux
00:00:00.168       42     +    0    0    0	(N
00:27:34.764   413691     +    0    0    0	(AFIB
00:29:51.044   447761     +    0    0    0	(N
01:08:13.720  1023430     +    0    0    0	(AFIB
01:08:31.504  1027876     +    0    0    0	(N
01:12:47.064  1091766     +    0    0    0	(AFIB
01:13:43.536  1105884     +    0    0    0	(N
01:14:22.008  1115502     +    0    0    0	(AFIB
01:16:46.808  1151702     +    0    0    0	(N
01:18:16.540  1174135     +    0    0    0	(AFIB
01:19:17.372  1189343     +    0    0    0	(N
01:20:15.220  1203805     +    0    0    0	(AFIB
01:20:17.724  1204431     +    0    0    0	(N
01:20:21.976  1205494     +    0    0    0	(AFIB
01:27:45.316  1316329     +    0    0    0	(N
01:28:53.900  1333475     +    0    0    0	(AFIB
01:30:10.848  1352712     +    0    0    0	(N
01:30:57.428  1364357     +    0    0    0	(AFIB
01:32:10.000  1382500     +    0    0    0	(N
01:32:54.268  1393567     +    0    0    0	(AFIB
01:33:46.764  1406691     +    0    0    0	(N
01:35:21.284  1430321     +    0    0    0	(AFIB
01:51:13.616  1668404     +    0    0    0	(N
01:52:56.192  1694048     +    0    0    0	(AFIB
02:06:03.984  1890996     +    0    0    0	(N
02:06:58.156  1904539     +    0    0    0	(AFIB
02:07:02.980  1905745     +    0    0    0	(N
02:09:07.772  1936943     +    0    0    0	(AFIB
02:16:28.680  2047170     +    0    0    0	(N
02:17:52.444  2068111     +    0    0    0	(AFIB
02:20:09.552  2102388     +    0    0    0	(N
02:21:17.580  2119395     +    0    0    0	(AFIB
02:22:35.312  2138828     +    0    0    0	(N
02:23:11.740  2147935     +    0    0    0	(AFIB
02:32:03.556  2280889     +    0    0    0	(N
02:33:35.900  2303975     +    0    0    0	(AFIB
02:44:16.268  2464067     +    0    0    0	(N
02:46:19.224  2494806     +    0    0    0	(AFIB
02:46:33.412  2498353     +    0    0    0	(N
02:47:05.844  2506461     +    0    0    0	(AFIB
03:28:42.632  3130658     +    0    0    0	(N
03:31:02.664  3165666     +    0    0    0	(AFIB
05:16:52.868  4753217     +    0    0    0	(N
05:18:46.960  4781740     +    0    0    0	(AFIB
05:19:29.756  4792439     +    0    0    0	(N
05:20:17.792  4804448     +    0    0    0	(AFIB
05:26:46.536  4901634     +    0    0    0	(N
05:27:51.108  4917777     +    0    0    0	(AFIB
05:38:42.892  5080723     +    0    0    0	(N
05:40:01.640  5100410     +    0    0    0	(AFIB
05:40:41.444  5110361     +    0    0    0	(N
05:41:14.924  5118731     +    0    0    0	(AFIB
06:08:13.092  5523273     +    0    0    0	(N
06:09:52.368  5548092     +    0    0    0	(AFIB
06:19:09.172  5687293     +    0    0    0	(N
06:21:38.424  5724606     +    0    0    0	(AFIB
06:36:53.104  5953276     +    0    0    0	(N
06:38:45.620  5981405     +    0    0    0	(AFIB
06:38:56.176  5984044     +    0    0    0	(N
06:39:21.204  5990301     +    0    0    0	(AFIB
06:39:29.836  5992459     +    0    0    0	(N
06:39:41.860  5995465     +    0    0    0	(AFIB
08:08:23.148  7325787     +    0    0    0	(N
08:11:05.116  7366279     +    0    0    0	(AFIB
08:16:52.020  7453005     +    0    0    0	(N
08:19:22.988  7490747     +    0    0    0	(AFIB
08:25:29.684  7582421     +    0    0    0	(N
08:27:19.496  7609874     +    0    0    0	(AFIB
08:27:28.176  7612044     +    0    0    0	(N
08:27:57.828  7619457     +    0    0    0	(AFIB
09:11:16.912  8269228     +    0    0    0	(N
09:14:04.136  8311034     +    0    0    0	(AFIB
09:17:12.124  8358031     +    0    0    0	(AFL
