      Time     Sample #  Type  Sub Chan  Num	Aux
[23:35:45.800]  3236450     +    0    0    0	(N
[23:38:09.620]  3272405     +    0    0    0	(AFIB
[23:44:52.104]  3373026     +    0    0    0	(N
[23:45:42.784]  3385696     +    0    0    0	(AFIB
[23:52:45.732]  3491433     +    0    0    0	(N
[23:55:36.596]  3534149     +    0    0    0	(AFIB
[23:59:32.012]  3593003     +    0    0    0	(N
[00:00:14.940]  3603735     +    0    0    0	(AFIB
[00:04:18.464]  3664616     +    0    0    0	(N
[00:05:19.156]  3679789     +    0    0    0	(AFIB
[00:14:15.480]  3813870     +    0    0    0	(N
[00:14:56.508]  3824127     +    0    0    0	(AFIB
[00:16:06.756]  3841689     +    0    0    0	(N
[00:16:57.996]  3854499     +    0    0    0	(AFIB
[00:18:15.772]  3873943     +    0    0    0	(N
[00:55:34.000]  4433500     +    0    0    0	(AFIB
[01:02:28.780]  4537195     +    0    0    0	(N
[01:02:58.000]  4544500     +    0    0    0	(AFIB
[01:04:39.000]  4569750     +    0    0    0	(N
[01:05:25.976]  4581494     +    0    0    0	(AFIB
[01:11:14.884]  4668721     +    0    0    0	(N
[01:11:45.076]  4676269     +    0    0    0	(AFIB
[01:13:55.964]  4708991     +    0    0    0	(N
[01:14:31.888]  4717972     +    0    0    0	(AFIB
[01:15:47.672]  4736918     +    0    0    0	(N
[01:16:09.108]  4742277     +    0    0    0	(AFIB
[01:18:32.972]  4778243     +    0    0    0	(N
[01:19:12.216]  4788054     +    0    0    0	(AFIB
[01:20:26.448]  4806612     +    0    0    0	(N
[01:21:15.924]  4818981     +    0    0    0	(AFIB
[01:24:15.008]  4863752     +    0    0    0	(N
[01:24:53.916]  4873479     +    0    0    0	(AFIB
[01:26:41.184]  4900296     +    0    0    0	(N
[01:27:25.120]  4911280     +    0    0    0	(AFIB
[01:28:35.184]  4928796     +    0    0    0	(N
[01:29:27.976]  4941994     +    0    0    0	(AFIB
[01:31:07.284]  4966821     +    0    0    0	(N
[01:32:02.820]  4980705     +    0    0    0	(AFIB
[01:34:09.316]  5012329     +    0    0    0	(N
[01:34:41.636]  5020409     +    0    0    0	(AFIB
[01:37:49.704]  5067426     +    0    0    0	(N
[01:38:17.008]  5074252     +    0    0    0	(AFIB
[01:38:53.668]  5083417     +    0    0    0	(N
[01:39:24.028]  5091007     +    0    0    0	(AFIB
[01:40:21.268]  5105317     +    0    0    0	(N
[01:41:07.204]  5116801     +    0    0    0	(AFIB
[01:43:52.000]  5158000     +    0    0    0	(N
[01:44:43.792]  5170948     +    0    0    0	(AFIB
[01:45:59.348]  5189837     +    0    0    0	(N
[01:46:52.312]  5203078     +    0    0    0	(AFIB
[01:53:54.056]  5308514     +    0    0    0	(N
[01:54:37.700]  5319425     +    0    0    0	(AFIB
[01:58:01.620]  5370405     +    0    0    0	(N
[02:00:17.328]  5404332     +    0    0    0	(AFIB
[02:04:38.000]  5469500     +    0    0    0	(N
[02:05:12.412]  5478103     +    0    0    0	(AFIB
[02:06:59.072]  5504768     +    0    0    0	(N
[02:07:34.348]  5513587     +    0    0    0	(AFIB
[02:11:56.332]  5579083     +    0    0    0	(N
[02:12:15.420]  5583855     +    0    0    0	(AFIB
[02:16:39.460]  5649865     +    0    0    0	(N
[02:17:09.712]  5657428     +    0    0    0	(AFIB
[02:18:26.816]  5676704     +    0    0    0	(N
[02:19:01.288]  5685322     +    0    0    0	(AFIB
[02:22:50.964]  5742741     +    0    0    0	(N
[02:23:25.632]  5751408     +    0    0    0	(AFIB
[02:23:48.984]  5757246     +    0    0    0	(N
[02:23:57.888]  5759472     +    0    0    0	(AFIB
[02:27:54.612]  5818653     +    0    0    0	(N
[02:28:49.248]  5832312     +    0    0    0	(AFIB
[02:41:41.768]  6025442     +    0    0    0	(N
[02:42:41.140]  6040285     +    0    0    0	(AFIB
[02:44:23.900]  6065975     +    0    0    0	(N
[02:45:03.852]  6075963     +    0    0    0	(AFIB
[02:45:47.060]  6086765     +    0    0    0	(N
